
ORDEM_SERVICO_TOTAL_TIPO_PGTO   ID_TIPO_PAGAMENTO               
ORDEM_SERVICO_TOTAL_TIPO_PGTO   VALOR                           
PARAMETROS                      ID                              
PARAMETROS                      ALIQUOTA_ICMS                   
PARAMETROS                      NATUREZA_OPERACAO_NFE           
PARAMETROS                      ALIQ_CREDITO_ICMS_SIMPLES       
PARAMETROS                      CODIGO_NFE                      
PARAMETROS                      JUROS_TAXA                      
PARAMETROS                      MULTA_TAXA                      
PARAMETROS                      JUROS_CARENCIA                  
PARAMETROS                      IMPORACAO_NFE_COM_FINANC        
PARAMETROS                      NFE_CERTIFICADO_NUMSERIE        
PARAMETROS                      NFE_CERTIFICADO_SENHA           
PARAMETROS                      NFE_WEBSERVICE_UF               
PARAMETROS                      NFE_WEBSERVICE_AMBIENTE         
PARAMETROS                      NFE_DANFE_LOGOMARCA             
PARAMETROS                      NFE_DANFE_TIPO                  
PARAMETROS                      NFE_DANFE_EXPANDIRLOGOMARCA     
PARAMETROS                      NFE_FORMAEMISSAO                
PARAMETROS                      NFE_MODO_FRETE                  
PARAMETROS                      NFE_SERIE                       
PARAMETROS                      MODO_BAIXA_XML_NOTA_COMPRA      
PARAMETROS                      TIPO_COBRANCA                   
PARAMETROS                      NFE_EMAIL_SMTPHOST              
PARAMETROS                      NFE_EMAIL_SMTPPORT              
PARAMETROS                      NFE_EMAIL_SMTPUSER              
PARAMETROS                      NFE_EMAIL_SMTPPASS              
PARAMETROS                      NFE_EMAIL_ASSUNTO               
PARAMETROS                      NFE_EMAIL_MSG                   
PARAMETROS                      NFE_EMAIL_ENVIO                 
PARAMETROS                      NFE_EMAIL_SSL                   
PARAMETROS                      NFE_EMAIL_TLS                   
PARAMETROS                      NFE_CERTIFICADO_CAMINHO         
PARAMETROS                      NFE_CERTIFICADO_SSLLIB          
PARAMETROS                      MODO_SENHA                      
PARAMETROS                      MODO_SENHA_AUTO                 
PARAMETROS                      DT_UPDT_PRODUTOS                
PARAMETROS                      VERSAO_BANCO                    
PARAMETROS                      MUDAR_ID_PRODUTO                
PARAMETROS                      MULTIPLICADOR                   
PARAMETROS                      SUBTRAENTE                      
PARAMETROS                      AGENDA_BACKUP                   
PARAMETROS                      HRAGENDA_BACKUP                 
PARAMETROS                      DIR_DESTINO_BACKUP              
PARAMETROS                      DIR_DESTINO_SEC_BACKUP          
PARAMETROS                      DESCONTO_GERAL                  
PARAMETROS                      DESCONTO_AUTO_TP_PGTO           
PARAMETROS                      DESCONTO_PRODUTO                
PARAMETROS                      DESCONTO_GRUPO_PRODUTO          
PARAMETROS                      PRODUTOS_SEM_ESTOQUE            
PARAMETROS                      PERC_DESC_MAX                   
PARAMETROS                      LIMITE_DESC_POR                 
PARAMETROS                      ZEROS_CODIGO_BALANCA            
PARAMETROS                      IMPORT_ATIVA_REFERENCIA         
PARAMETROS                      NFE_VERSAO_DF                   
PARAMETROS                      IMPORT_ALINHA_NCM               
PARAMETROS                      IMPORT_ALINHA_CEST              
PARAMETROS                      IMPORT_ATIVA_DESCR              
PARAMETROS                      IMPORT_UPDTE_CUSTO              
PARAMETROS                      IMPORT_AJUSTA_PRECO             
PARAMETROS                      IMPORT_AJUSTA_PRECO_ATACADO     
PARAMETROS                      IMPORT_UPDTE_CUSTO_MENOR        
PARAMETROS                      IMPORT_GERA_FINANCEIRO          
PARAMETROS                      IMPORT_MUDA_MARGEM              
PARAMETROS                      HASH_S                          
PARAMETROS                      CLI_PERMITE_DUPL_CNPJ           
PARAMETROS                      CLI_PERMITE_DUPL_RAZ            
PARAMETROS                      CLI_PERMITE_DUPL_FANT           
PARAMETROS                      FORCA_REJ938_DFE                
PARAMETROS                      CHKBARRAS                       
PARAMETROS                      CONSIDERAR_ESTOQUE_PENDENTE_ORC 
PARAMETROS                      MOBILE_CADASTRA_CLIENTE         
PARAMETROS                      MOBILE_HABILITA_CLIENTE         
PARAMETROS                      IMPORT_ACEITA_CNPJ_TERCEIRO     
PARAMETROS                      DESCONTO_ICMS_DESON             
PARAMETROS                      GTIN                            
PARAMETROS                      MOBILE_ALTERAR_PRECO            
PARAMETROS                      MOBILE_ALTERAR_ESTOQUE          
PARAMETROS                      MOBILE_INSERCAO_VENDA           
PARAMETROS                      UTILIZA_ORCAMENTO_APRAZO        
PARAMETROS                      IBPT_VERSAO_VIGENCIA            
PARAMETROS                      MSG_CARNES                      
PARAMETROS                      CONSUMO_INDEVIDO_DATA           
PARAMETROS                      CONSUMO_INDEVIDO_MINUTOS        
PARAMETROS                      IMPORT_DEDUZIR20_ANT_PGTOIMP    
PEDIDO                          DATA_ENTREGA                    
PEDIDO                          VALOR_FINAL                     
PEDIDO_FORMA_PAGAMENTO          ID                              
PEDIDO_FORMA_PAGAMENTO          ID_PEDIDO                       
PEDIDO_FORMA_PAGAMENTO          ID_TIPO_PAGAMENTO               
PEDIDO_FORMA_PAGAMENTO          NOME_COMPUTADOR                 
PEDIDO_FORMA_PAGAMENTO          NOME_CAIXA                      
PEDIDO_FORMA_PAGAMENTO          VALOR                           
PEDIDO_FORMA_PAGAMENTO          ESTORNO                         
PEDIDO_ITENS                    VALOR_UNITARIO                  
PEDIDO_ITENS                    VALOR_CUSTO                     
PEDIDO_ITENS                    VALOR_PRODUTOS                  
PEDIDO_ITENS                    VALOR_DESCONTO                  
PET_AGENDAMENTO                 VALOR_TOTAL                     
PET_AGENDAMENTO_ITENS           VALOR                           
PLANO_CONTAS_GRUPOS             ID                              
PLANO_CONTAS_GRUPOS             DESCRICAO_GRUPO                 
PRODUTOS                        ID_PRODUTO                      
PRODUTOS                        GTIN                            
PRODUTOS                        BARRAS                          
PRODUTOS                        BARRAS_CX                       
PRODUTOS                        PRODUTO                         
PRODUTOS                        DESCRICAO_COMPRA                
PRODUTOS                        DESCRICAO_COMPLEMENTAR          
PRODUTOS                        CODIGO_BALANCA                  
PRODUTOS                        REFERENCIA                      
PRODUTOS                        ESTOQUE                         
PRODUTOS                        ESTOQUE_ANT                     
PRODUTOS                        VALOR_VENDA                     
PRODUTOS                        VALOR_COMPRA                    
PRODUTOS                        CUSTO                           
PRODUTOS                        NCM                             
PRODUTOS                        CEST                            
PRODUTOS                        PESO_LIQUIDO                    
PRODUTOS                        PESO_BRUTO                      
PRODUTOS                        MARGEM                          
PRODUTOS                        MARGEM_ATAC                     
PRODUTOS                        CARACTERISTICA                  
PRODUTOS                        MVA                             
PRODUTOS                        RED_BASE_ICMS                   
PRODUTOS                        OBS                             
PRODUTOS                        FOTO                            
PRODUTOS                        STATUS                          
PRODUTOS                        MINIMO                          
PRODUTOS                        RETORNO                         
PRODUTOS                        COMISSAO_VISTA                  
PRODUTOS                        COMISSAO_PRAZO                  
PRODUTOS                        DESCONTO                        
PRODUTOS                        MARCA                           
PRODUTOS                        GRUPO                           
