
  ID_PRODUTO PRODUTO                                                                                                                  BARRAS                                       ESTOQUE           VALOR_VENDA STATUS                         
        3240 ALICATE NIVELADOR DE REV. 38                                                                                             7897451466959                                 2.0000             70.000000 ATIVO                          
        3159 ALICATE PARA ELETRONICA BICO MEIA                                                                                        7895315006259                                13.0000              9.900000 ATIVO                          
        2090 ALICATE PRES 10 B RETO BRASFORT                                                                                          7898094337859                                 2.0000             46.000000 ATIVO                          
        3241 ALICATE RABITADOR MANUAL                                                                                                 7897937444389                                11.0000             54.440000 ATIVO                          
        2610 ALICATE REBITADOR AR1 FOX  - 41.01                                                                                       7898105774147                                 3.0000             33.000000 ATIVO                          
        4230 ALICATE REBITADOR SEM REBITES                                                                                                                                          6.0000             34.000000 ATIVO                          
          15 ALICATE UNIV 08 AM 41001108 TRAMONTINA                                                                                   7891114008869                                 3.0000             41.000000 ATIVO                          
        3844 ALISARO DE PORTA                                                                                                         7700010038446                                 6.0000             58.000000 ATIVO                          
        3203 ALONGADOR 1/2 6 CM LATAO CROMADO                                                                                         7898357427259                                 2.0000             25.000000 ATIVO                          
        3205 AMOLADOR DE FACAS                                                                                                        7898684171092                                 1.0000             35.000000 ATIVO                          
        3810 ANEL DE CONCRETO GD                                                                                                      7700010038101                                40.0000              4.500000 ATIVO                          
         160 ANEL DE CONCRETO PQ                                                                                                      7700010001600                                33.0000              3.500000 ATIVO                          
        3812 ANEL DE CONCRETO QUADRADO                                                                                                7700010038125                               130.0000              0.000000 ATIVO                          
        2852 ANEL DE VEDACAO BLUKIT                                                                                                   7898550250821                                 8.0000             15.000000 ATIVO                          
         418 ANEL DE VEDACAO C/GUIA                                                                                                   7898295110077                                 9.0000             10.000000 ATIVO                          
        3351 ANEL DE VEDACAO DE 100 - FORTLEV                                                                                         7898543592624                                51.0000              4.000000 ATIVO                          
        3352 ANEL DE VEDACAO DE 40 - FORTLEV                                                                                          7700010033526                                74.0000              2.000000 ATIVO                          
        3356 ANEL DE VEDACAO DE 50- FORTLEV                                                                                           7700010033564                                96.0000              2.000000 ATIVO                          
        3353 ANEL DE VEDACAO DE 75 - FORTLEV                                                                                          7700010033533                                16.0000              3.000000 ATIVO                          
        3354 ANEL DE VEDACAO DE ESGOTO                                                                                                7700010033540                                15.0000              0.500000 ATIVO                          
        4272 ANEL ESGOTO SANEAMENTO                                                                                                   <null>                                       -1.0000             30.000000 ATIVO                          
        3814 ANEL PARA ESGOTO DE CONCRETO                                                                                             7700010038149                                 5.0000             30.000000 ATIVO                          
        2790 ANEL VED P/VASO C/GUIA 250G MUNDIAL 250G  - MA06000001                                                                   7898567700036                                 6.0000             12.000000 ATIVO                          
        3080 ANTI-DESLIZANTE PARA CORREIAS WURTH                                                                                      7891799145040                                 3.0000             10.000000 ATIVO                          
        3079 ANTIFERRUGEM 150G - LUB FAST                                                                                             7898567700944                                 2.0000             10.000000 ATIVO                          
        2743 APLICADOR DE MASSA ATLAS (ESPATULA) 4,5C                                                                                 7896380190850                                13.0000              2.530000 ATIVO                          
        2744 APLICADOR DE SILICONE THOMPSON                                                                                           7898011971999                                 2.0000             27.000000 ATIVO                          
        2928 ARAME RECOSIDO LISO                                                                                                      7891738038051                                46.0000             25.000000 ATIVO                          
        2924 ARAME RECOZIDO TORCIDO 1,25MM                                                                                            7899702803261                                93.0000             25.000000 ATIVO                          
        1899 ARAME ZINCADO BWG 181,24MM MORLAN                                                                                        7897047210256                                 1.0000             30.000000 ATIVO                          
        3267 ARCO DE SERRA AJUSTAVEL 8 /12                                                                                            7898943365019                                 2.0000             42.000000 ATIVO                          
        3268 ARCO DE SERRA FIXO 300MM                                                                                                 7899095406841                                 0.0000             20.000000 ATIVO                          
        4071 AREIA  DRAGA  CACAMBA                                                                                                    <null>                                       -1.0000            360.000000 ATIVO                          
        3623 AREIA  DRAGA  LATA                                                                                                       <null>                                     -173.0000              3.000000 ATIVO                          
        4069 AREIA  DRAGA 1/2 CACAMBA                                                                                                 <null>                                        1.0000            280.000000 ATIVO                          
        4073 AREIA GROSSA DE RIACHO 1/2 CACAMBA                                                                                       <null>                                        0.0000            300.000000 ATIVO                          
        4074 AREIA GROSSA DE RIACHO CACAMBA                                                                                           <null>                                       -3.0000            430.000000 ATIVO                          
        3622 AREIA GROSSA DE RIACHO LATA                                                                                              <null>                                      112.0000              3.500000 ATIVO                          
        4077 AREIA MEDIA PARA REBOCO  CACAMBA                                                                                         <null>                                       -2.0000            300.000000 ATIVO                          
        4076 AREIA MEDIA PARA REBOCO 1/2 CACAMBA                                                                                      <null>                                       -4.0000            200.000000 ATIVO                          
        3621 AREIA MEDIA PARA REBOCO LATA                                                                                             <null>                                      686.0000              3.000000 ATIVO                          
         552 ARGAMASSA TIPO AC1 MEGAMASSA 20KG                                                                                        7700010005523                                34.0000             13.000000 ATIVO                          
         553 ARGAMASSA TIPO AC2 CINFORT 20 KG                                                                                         7700010005530                                38.0000             19.000000 ATIVO                          
         554 ARGAMASSA TIPO AC3 CINFORT 20 KG                                                                                         7700010005547                                27.0000             23.000000 ATIVO                          
        1681 ARMADOR REDE INOX 1PAR EMB IP ALIANCA                                                                                    7891249011673                                 1.0000             69.000000 ATIVO                          
        4128 ARMADOR TIPO BATON AÇO CX 1 PAR METALVI                                                                                  7898917660034                                 2.0000             73.000000 ATIVO                          
        2172 ARMARIO PLAS 30X95X37 BR PRIMAFER ATLAS                                                                                  7896003894103                                 4.0000             61.500000 ATIVO                          
          17 ARMARIO PLAST 34X37X10 BRANCO HERC                                                                                       7898059547149                                 3.0000             61.500000 ATIVO                          
        1194 ARRUELA LISA GALV B 1/4 KG MILLA                                                                                         7897208682731                               283.0000              0.400000 ATIVO                          
        1195 ARRUELA LISA GALV C 5/16 KG MILLA                                                                                        7897208682748                               114.0000              0.400000 ATIVO                          
        1196 ARRUELA LISA GALV E 1/2 KG MILLA                                                                                         7897208682762                              1918.0000              0.200000 ATIVO                          
        3507 ARRUELA LISA ZB 3/16                                                                                                     <null>                                     1074.0000              0.200000 ATIVO                          
        1193 ARRUELA LISA ZB 3/4                                                                                                      7897208682724                                58.0000              0.800000 ATIVO                          
        3510 ARRUELA LISA ZB 3/8                                                                                                      <null>                                      149.0000              0.500000 ATIVO                          
        3509 ARRUELA LISA ZB 5/32                                                                                                     <null>                                     1232.0000              0.300000 ATIVO                          
        3506 ARRUELA LISA ZB 5/8                                                                                                      <null>                                       27.0000              0.700000 ATIVO                          
        3144 ARRUELA PARA PADRAO  3/4                                                                                                 <null>                                      192.0000              2.000000 ATIVO                          
        3142 ARRUELA PARA PADRAO DE ENERGIA 3/4                                                                                       <null>                                       28.0000              1.000000 ATIVO                          
         228 ARRUELA ZB 3/4                                                                                                           7700010002287                                33.0000              3.000000 ATIVO                          
        2018 ASSENTO ATLAS ALMOFADO BRANCO CLASSIC                                                                                    7896003816327                                 5.0000             76.000000 ATIVO                          
        3097 ASSENTO ENVOLVENTE - HERC                                                                                                7898059544780                                 3.0000             76.000000 ATIVO                          
        3096 ASSENTO PRATICO - ARQPLAST                                                                                               7908439800006                                11.0000             35.000000 ATIVO                          
        2765 ASSENTO SANIT.BCO ALMOF.GRANPLAST                                                                                        7898536987574                                17.0000             76.000000 ATIVO                          
        3098 ASSENTO SANITARIO - GRANPLASTIC                                                                                          7898945769013                                 1.0000             35.000000 ATIVO                          
        3816 B 30 DE CONCRETO                                                                                                         7700010038163                               218.0000              0.000000 ATIVO                          
        4186 BACIA P/ACOP GARD MARI                                                                                                                                                 1.0000            330.000000 ATIVO                          
        3350 BACIA SANITARIA - LUZARTE                                                                                                0008674425002                                 1.0000            170.000000 ATIVO                          
        3219 BALANCA DIGITAL MULTIUSO                                                                                                 7898684170712                                31.0000             10.000000 ATIVO                          
         278 BALCAO M. SINT. 1.00X50  BIANCO                                                                                          1232345678968                                 9.0000             70.000000 ATIVO                          
        3970 BALCÃO MARMORE SINTÉTICO 1X0,50 CINZA                                                                                    7700010039702                                 9.0000             70.000000 ATIVO                          
        3971 BALCÃO MARMORE SINTÉTICO 1X0,50 PRETO                                                                                                                                  0.0000              0.000000 ATIVO                          
        2661 BALCÃO MARMORE SINTÉTICO CUBA INOX CINZA                                                                                 1232345678470                                 5.0000            150.000000 ATIVO                          
        3792 BALDE DE BRITA                                                                                                           <null>                                       13.0000              5.000000 ATIVO                          
        4188 BALDE MULTIUSO 10 LITROS                                                                                                 7891595002233                                13.0000             15.000000 ATIVO                          
        2567 BALDE PLAST 12L REFORC PRETO PLASTVEL                                                                                    7898337410400                                -1.0000             18.820000 ATIVO                          
        2694 BANDEJA PLAS PINTURA 997 2.85L PT CONDOR                                                                                 7891055096208                                10.0000             14.320000 ATIVO                          
        4096 BARRA DE FERRO 1/2                                                                                                       7700010040968                                11.0000             10.000000 ATIVO                          
        4287 BARRA FERRO 3/8                                                                                                          <null>                                       -1.0000             85.000000 ATIVO                          
         550 BARROTE MADEIRA 2                                                                                                                                                      0.0000             26.000000 ATIVO                          
        4048 BARROTE MADEIRA 2,5                                                                                                      <null>                                        2.0000             35.000000 ATIVO                          
        4049 BARROTE MADEIRA 3                                                                                                        <null>                                        3.0000             42.000000 ATIVO                          
